k,rebalance_time,status,eligible_symbol_count,long_symbols,short_symbols,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
3,1712851200000,RESOLVED,20,BCHUSDT|AVAXUSDT|ETHUSDT,DOGEUSDT|SOLUSDT|ETCUSDT,1.0767166666666665,15.286262201184378,6.0,16.362978867851044,10.362978867851044
3,1712880000000,RESOLVED,20,BCHUSDT|ATOMUSDT|DOTUSDT,APTUSDT|OPUSDT|TRXUSDT,1.4852333333333334,-21.908915096270356,6.0,-20.423681762937022,-26.423681762937022
3,1712908800000,RESOLVED,20,BNBUSDT|BCHUSDT|ATOMUSDT,APTUSDT|ADAUSDT|SOLUSDT,1.2292999999999998,67.57156375133522,6.0,68.80086375133521,62.800863751335214
3,1712937600000,RESOLVED,20,BNBUSDT|ADAUSDT|ATOMUSDT,OPUSDT|SOLUSDT|APTUSDT,1.31115,261.7012436123417,6.0,263.0123936123417,257.0123936123417
3,1712966400000,RESOLVED,20,BNBUSDT|ARBUSDT|BCHUSDT,TRXUSDT|UNIUSDT|XRPUSDT,1.5650333333333335,30.482220402699344,6.0,32.04725373603268,26.04725373603268
3,1712995200000,RESOLVED,20,BNBUSDT|BCHUSDT|ADAUSDT,TRXUSDT|UNIUSDT|XRPUSDT,1.6824333333333334,-48.15058932218192,6.0,-46.468155988848586,-52.468155988848586
3,1713024000000,RESOLVED,20,BNBUSDT|BCHUSDT|ADAUSDT,TRXUSDT|UNIUSDT|XRPUSDT,1.18395,-19.61338103469455,6.0,-18.429431034694552,-24.429431034694552
3,1713052800000,RESOLVED,20,DOTUSDT|BNBUSDT|TRXUSDT,LTCUSDT|SOLUSDT|UNIUSDT,5.17625,-46.39979330153291,6.0,-41.223543301532914,-47.223543301532914
3,1713081600000,RESOLVED,20,BNBUSDT|ATOMUSDT|BCHUSDT,TRXUSDT|UNIUSDT|XRPUSDT,1.8347333333333335,-76.33883036111065,6.0,-74.50409702777732,-80.50409702777732
3,1713110400000,RESOLVED,20,BNBUSDT|TRXUSDT|BCHUSDT,SOLUSDT|UNIUSDT|XRPUSDT,1.771866666666667,-20.196305412574215,6.0,-18.424438745907548,-24.424438745907548
3,1713139200000,RESOLVED,20,BCHUSDT|BNBUSDT|ATOMUSDT,ETHUSDT|LTCUSDT|UNIUSDT,2.4353833333333332,-3.869626571115746,6.0,-1.4342432377824128,-7.434243237782413
3,1713168000000,RESOLVED,20,BCHUSDT|BNBUSDT|ATOMUSDT,OPUSDT|TRXUSDT|UNIUSDT,2.4313666666666665,-77.53917824363131,6.0,-75.10781157696465,-81.10781157696465
3,1713196800000,RESOLVED,20,BNBUSDT|BCHUSDT|TRXUSDT,LTCUSDT|UNIUSDT|XRPUSDT,2.1912,3.843315896143555,6.0,6.034515896143555,0.03451589614355477
3,1713225600000,RESOLVED,20,BNBUSDT|BCHUSDT|TRXUSDT,LINKUSDT|LTCUSDT|UNIUSDT,3.4984833333333336,-134.33343589959142,6.0,-130.8349525662581,-136.8349525662581
3,1713254400000,RESOLVED,20,BNBUSDT|TRXUSDT|SUIUSDT,ETCUSDT|OPUSDT|UNIUSDT,2.7159333333333335,60.643799082499925,6.0,63.35973241583326,57.35973241583326
3,1713283200000,RESOLVED,20,BNBUSDT|TRXUSDT|BCHUSDT,ADAUSDT|ETCUSDT|LTCUSDT,2.695583333333333,-19.691288111565544,6.0,-16.995704778232213,-22.995704778232213
3,1713312000000,RESOLVED,20,BCHUSDT|BNBUSDT|SUIUSDT,TRXUSDT|LTCUSDT|ETHUSDT,2.033333333333333,-13.59843864764186,6.0,-11.565105314308527,-17.565105314308525
3,1713340800000,RESOLVED,20,BCHUSDT|SUIUSDT|DOTUSDT,DOGEUSDT|ETCUSDT|UNIUSDT,1.251,228.19062821604334,6.0,229.44162821604334,223.44162821604334
3,1713369600000,RESOLVED,20,TRXUSDT|SUIUSDT|BCHUSDT,APTUSDT|ETCUSDT|SOLUSDT,1.3239166666666669,-94.00539972603313,6.0,-92.68148305936647,-98.68148305936647
3,1713398400000,RESOLVED,20,TRXUSDT|BCHUSDT|DOGEUSDT,APTUSDT|LINKUSDT|LTCUSDT,1.628966666666667,9.206940625853989,6.0,10.835907292520655,4.835907292520655
3,1713427200000,RESOLVED,20,TRXUSDT|SUIUSDT|BCHUSDT,ETCUSDT|LINKUSDT|LTCUSDT,1.5107,-115.87236051464278,6.0,-114.36166051464278,-120.36166051464278
3,1713456000000,RESOLVED,20,BCHUSDT|BNBUSDT|SUIUSDT,ETCUSDT|UNIUSDT|XRPUSDT,2.1401999999999997,4.29292993325614,6.0,6.43312993325614,0.43312993325614
3,1713484800000,RESOLVED,20,SUIUSDT|BCHUSDT|LINKUSDT,ETCUSDT|LTCUSDT|OPUSDT,2.0191500000000002,24.437487622265916,6.0,26.456637622265916,20.456637622265916
3,1713513600000,RESOLVED,20,TRXUSDT|BNBUSDT|SUIUSDT,ARBUSDT|LINKUSDT|UNIUSDT,1.70185,119.10769822165841,6.0,120.8095482216584,114.8095482216584
3,1713542400000,RESOLVED,20,BCHUSDT|SUIUSDT|BNBUSDT,OPUSDT|UNIUSDT|XRPUSDT,0.8001333333333333,-0.40862690765262144,6.0,0.3915064256807118,-5.608493574319288
3,1713571200000,RESOLVED,20,BCHUSDT|SUIUSDT|BNBUSDT,LTCUSDT|SOLUSDT|UNIUSDT,0.9592166666666667,-15.667660884395948,6.0,-14.708444217729282,-20.70844421772928
3,1713600000000,RESOLVED,20,BCHUSDT|ADAUSDT|AVAXUSDT,TRXUSDT|ETCUSDT|APTUSDT,1.4545000000000001,-2.1101997995901995,6.0,-0.6556997995901994,-6.6556997995902
3,1713628800000,RESOLVED,20,BCHUSDT|XRPUSDT|ATOMUSDT,ARBUSDT|APTUSDT|UNIUSDT,1.0563166666666666,-31.430511140073477,6.0,-30.37419447340681,-36.37419447340681
3,1713657600000,RESOLVED,20,BCHUSDT|TRXUSDT|ATOMUSDT,LINKUSDT|LTCUSDT|XRPUSDT,1.7569166666666667,-25.131795183163476,6.0,-23.37487851649681,-29.37487851649681
