venue,market_type,contract_type,symbol,quote_asset,interval,open_time,close_time,open,high,low,close,volume_base,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,source_path,source_checksum,dataset_version,base_asset,mark_open,mark_high,mark_low,mark_close,index_open,index_high,index_low,index_close,premium_open,premium_high,premium_low,premium_close,funding_time,funding_rate_asof,funding_interval_hours,price_for_research,log_price,is_complete_bar,quality_flags,return_1h,execution_cost_quality,normalized_at
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687021200000,1687024799999,15.356,15.388,15.301,15.315,107766.44,1654399.59836,5469.0,57131.75,877272.5352,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.356,15.38786592,15.303,15.315,15.35918366,15.39094122,15.31068685,15.32157393,-2.552e-05,0.00031058,-0.0011049,-0.0004573,1687017600000,0.0001,8.0,15.315,2.7288327402847385,True,,-0.0026749831929597,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687024800000,1687028399999,15.313,15.408,15.305,15.372,75844.83,1165192.03667,4618.0,38599.98,593003.84553,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.315,15.40611685,15.31170672,15.37227308,15.32157393,15.40507128,15.32040423,15.38172835,-0.00045719,0.00020705,-0.00117673,-0.00063405,1687017600000,0.0001,8.0,15.37227308,2.732565437311915,True,,0.0037326970271762,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687028400000,1687031999999,15.37,15.375,15.305,15.313,49401.76,757744.91277,3984.0,22328.03,342427.33769,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.37213075,15.375,15.306,15.314,15.38171047,15.38200823,15.31195641,15.31718105,-0.00058443,8.733e-05,-0.00120145,-4.491e-05,1687017600000,0.0001,8.0,15.314,2.728767442690932,True,,-0.0037979946209829,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687032000000,1687035599999,15.313,15.349,15.289,15.339,82578.68,1264797.82552,4561.0,46131.25,706589.92213,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.314,15.34812147,15.30508521,15.339,15.31718105,15.35172013,15.30969504,15.35154314,-0.00018775,0.00015215,-0.00121278,-0.00068886,1687017600000,0.0001,8.0,15.339,2.730398604765972,True,,0.0016311620750402,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687035600000,1687039199999,15.339,15.36,15.321,15.331,46457.0,712759.90295,3657.0,21629.42,331829.79095,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.339,15.35922105,15.323,15.33336165,15.35154314,15.36520659,15.33136383,15.34425362,-0.00067116,1.865e-05,-0.0010688,-0.00067989,1687017600000,0.0001,8.0,15.33336165,2.7300309545584107,True,,-0.0003676502075613,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687039200000,1687042799999,15.331,15.383,15.327,15.349,59068.28,907151.58553,4476.0,27747.06,426175.11431,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.33333008,15.38235172,15.332,15.35045552,15.34425443,15.38359585,15.34087907,15.36049185,-0.00065138,0.00013232,-0.00126539,-0.00068088,1687017600000,0.0001,8.0,15.35045552,2.731145149162928,True,,0.0011141946045172,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687042800000,1687046399999,15.348,15.372,15.293,15.33,86881.39,1332063.64957,6665.0,38737.26,593989.70712,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.35045552,15.372,15.30266146,15.33132485,15.36049185,15.37984006,15.30909849,15.33776715,-0.00057547,3.264e-05,-0.00129824,-0.00044402,1687017600000,0.0001,8.0,15.33132485,2.729898111197824,True,,-0.0012470379651037,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687046400000,1687049999999,15.329,15.334,15.158,15.255,345035.33,5258546.17423,14232.0,163240.16,2488029.56073,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.33122062,15.334,15.18244409,15.255,15.33776795,15.33923605,15.19863279,15.2615576,-0.000444,0.00059845,-0.00223212,-0.00029248,1687046400000,0.0001,8.0,15.255,2.724907318168633,True,,-0.004990793029191,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687050000000,1687053599999,15.255,15.31,15.229,15.302,95514.45,1457913.6055,5501.0,42605.91,650418.29779,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.255,15.31065594,15.23006499,15.30521944,15.26153986,15.31702048,15.24080082,15.31604226,-0.00020196,0.00018806,-0.00116503,-0.00073605,1687046400000,0.0001,8.0,15.30521944,2.728193910092696,True,,0.0032865919240627,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687053600000,1687057199999,15.303,15.324,15.284,15.305,67073.16,1026561.18286,3776.0,34710.09,531228.28672,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.30521944,15.32460827,15.287,15.305,15.31604226,15.33162192,15.29629047,15.30921623,-0.00076042,0.0,-0.00146706,-0.00022178,1687046400000,0.0001,8.0,15.305,2.728179572397376,True,,-1.4337695320332244e-05,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687057200000,1687060799999,15.304,15.35,15.294,15.331,53041.49,813076.73789,3702.0,32120.7,492370.76383,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.305,15.35,15.296,15.33459806,15.30921543,15.3573288,15.30525544,15.34156203,-0.00023364,2.55e-06,-0.00084353,-0.00058146,1687046400000,0.0001,8.0,15.33459806,2.7301115865934307,True,,0.001932014196055,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687060800000,1687064399999,15.331,15.363,15.319,15.345,90521.35,1388551.96289,4237.0,49283.52,756009.48912,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.33459806,15.36397328,15.3234891,15.345,15.34156286,15.3697476,15.33072616,15.35572747,-0.00056819,6.843e-05,-0.00107905,-0.00049467,1687046400000,0.0001,8.0,15.345,2.7307896880717,True,,0.000678101478269,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687064400000,1687067999999,15.343,15.399,15.322,15.327,134452.48,2065166.54103,5298.0,62032.69,952796.61386,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.345,15.399,15.323,15.32828577,15.35572747,15.39998124,15.33348185,15.33815164,-0.00054463,0.00020687,-0.00130375,-0.00053455,1687046400000,0.0001,8.0,15.32828577,2.729699864713378,True,,-0.0010898233583218,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
BINANCE,USD_M_FUTURES,PERPETUAL,ETCUSDT,USDT,1h,1687068000000,1687071599999,15.328,15.343,15.254,15.322,106550.74,1631249.72649,5674.0,48635.69,744497.94614,/home/arthur/Downloads/crypto-pair-trading/data/research/binance_public/data/futures/um/monthly/klines/ETCUSDT/1h/ETCUSDT-1h-2023-06.zip,12c19ae21abdc5f0e88ffa2730ce4e8ef61f28e6f85da9f2314e41e757d9b1d9,sprint7_binance_usdm_202306_202605,ETC,15.32828577,15.342,15.26655699,15.322,15.33813382,15.3467612,15.27551386,15.32694825,-0.00051924,0.00011689,-0.00177953,-0.00011397,1687046400000,0.0001,8.0,15.322,2.7292897040946293,True,,-0.0004101606187485,UNAVAILABLE,2026-07-01T15:52:54.759604+00:00
