dimension,bucket,trade_count,gross_pnl_bps,avg_gross_pnl_bps,gross_profit_factor,net_pnl_bps,avg_net_pnl_bps,avg_cost_bps,profit_outcome_rate,stop_outcome_rate,vertical_outcome_rate,hit_rate_gross,avg_abs_entry_zscore,avg_bars_held
pair_summary,ADAUSDT/AVAXUSDT,1532,-532.9158375502693,-0.34785629082915753,0.9940618227004601,-20395.41583755027,-13.312934619810882,12.965078328981724,0.6932114882506527,0.1077023498694517,0.19908616187989556,0.6096605744125326,2.922557551923943,3.8603133159268928
pair_summary,DOTUSDT/ETCUSDT,1500,-594.1313158633275,-0.396087543908885,0.9928047677974107,-20047.631315863327,-13.365087543908885,12.969,0.6906666666666667,0.11333333333333333,0.196,0.6126666666666667,2.956823341932406,3.876
pair_summary,ADAUSDT/ETCUSDT,1547,-1322.906597263739,-0.8551432432215508,0.9859305194774597,-21351.906597263744,-13.802137425509853,12.9469941822883,0.6987718164188752,0.11312217194570136,0.1881060116354234,0.632191338073691,2.945668949032554,3.7879767291531996
pair_summary,ADAUSDT/SOLUSDT,1504,-2270.2437730334736,-1.5094705937722563,0.9751364671086031,-21490.52174803347,-14.28891073672438,12.779440142952126,0.6868351063829787,0.08909574468085106,0.22406914893617022,0.6123670212765957,2.9486682086334324,3.33843085106383
pair_summary,ADAUSDT/LINKUSDT,1503,-2527.723359677173,-1.6817853357798889,0.9723836709687912,-22085.97335967717,-14.694593053677425,13.012807717897537,0.7065868263473054,0.11842980705256155,0.17498336660013306,0.6127744510978044,2.929653037680752,4.051230871590153
pair_summary,ARBUSDT/AVAXUSDT,1536,-2621.5635271932606,-1.7067470880164457,0.9748442391367742,-22560.563527193262,-14.687866879683114,12.981119791666666,0.7005208333333334,0.109375,0.19010416666666666,0.6171875,2.966534810402248,3.9244791666666665
pair_summary,ETHUSDT/UNIUSDT,1584,-3512.3579749525434,-2.217397711459939,0.953307334113671,-24117.211074952542,-15.225512042268019,13.00811433080808,0.6654040404040404,0.10037878787878787,0.2342171717171717,0.5858585858585859,3.0280993477369704,4.76199494949495
pair_summary,ADAUSDT/DOGEUSDT,1561,-4755.374792497301,-3.046364377000193,0.9527039189813246,-25128.5337924973,-16.097715434014926,13.051351057014735,0.6944266495836002,0.1133888532991672,0.19218449711723254,0.6143497757847534,2.966911681535009,4.3305573350416395
pair_summary,ARBUSDT/LINKUSDT,1466,-5657.84481276179,-3.8593757249398295,0.9432117333097754,-24768.844812761792,-16.895528521665614,13.036152796725785,0.6957708049113234,0.12005457025920874,0.18417462482946795,0.5961800818553888,2.967020607654476,4.144611186903138
pair_summary,DOTUSDT/ETHUSDT,1428,-5549.9530908434745,-3.8865217722993517,0.9230944191264053,-23445.109290843473,-16.418143761094868,12.531621988795516,0.7128851540616247,0.0700280112044818,0.21708683473389356,0.6043417366946778,2.9639107897575947,2.511204481792717
