k,rebalance_time,status,held_long,held_short,swap_count,funding_pnl_bps,price_pnl_bps,cost_bps,gross_pnl_bps,net_pnl_bps
3,1713340800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.23845,-151.2105767489449,0.0,-150.9721267489449,-150.9721267489449
3,1713369600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.3690666666666667,108.88742053505135,0.0,109.25648720171802,109.25648720171802
3,1713398400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.3375,54.60648369333368,0.0,55.94398369333368,55.94398369333368
3,1713427200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.4724666666666667,-75.11199232848188,0.0,-74.63952566181521,-74.63952566181521
3,1713456000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.1816333333333333,28.9894404003264,0.0,30.171073733659735,30.171073733659735
3,1713484800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.29988333333333317,-97.10398822291921,0.0,-96.80410488958589,-96.80410488958589
3,1713513600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.1233833333333332,-26.273536340477943,0.0,-25.15015300714461,-25.15015300714461
3,1713542400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.33470000000000005,47.32095402443804,0.0,47.655654024438036,47.655654024438036
3,1713571200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.5785333333333333,-99.63225732975091,0.0,-99.05372399641757,-99.05372399641757
3,1713600000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.5522166666666667,-50.22743892892683,0.0,-49.675222262260164,-49.675222262260164
3,1713628800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.42758333333333326,-111.80702024456535,0.0,-111.37943691123202,-111.37943691123202
3,1713657600000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,1.0406166666666665,54.100071468936136,0.0,55.1406881356028,55.1406881356028
3,1713686400000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.8667999999999999,72.72776341693354,0.0,73.59456341693354,73.59456341693354
3,1713715200000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.9235333333333333,-10.26881369738256,0.0,-9.345280364049227,-9.345280364049227
3,1713744000000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.21225000000000002,-54.95425303636771,0.0,-54.74200303636771,-54.74200303636771
3,1713772800000,RESOLVED,TRXUSDT|BNBUSDT|BCHUSDT,ARBUSDT|OPUSDT|SUIUSDT,0,0.42251666666666654,7.470976637988837,0.0,7.893493304655504,7.893493304655504
